	x
1	NODE_31950_length_891_cov_15.926887_g4516_i1
2	NODE_62988_length_245_cov_3.297030_g47778_i0
3	NODE_43320_length_546_cov_49.280318_g28296_i0
4	NODE_41062_length_608_cov_25.053097_g26312_i0
5	NODE_44480_length_517_cov_6.251055_g29365_i0
6	NODE_31149_length_919_cov_13.807078_g19030_i0
7	NODE_36954_length_727_cov_68.980994_g23083_i0
8	NODE_39204_length_660_cov_57.051864_g24799_i0
9	NODE_39673_length_647_cov_4.359272_g25181_i0
10	NODE_67879_length_216_cov_1.179191_g52669_i0
11	NODE_21971_length_1289_cov_9.379615_g13488_i0
12	NODE_72006_length_198_cov_1.200000_g56796_i0
13	NODE_27923_length_1039_cov_23.360442_g17022_i0
14	NODE_95325_length_146_cov_1.766990_g80115_i0
15	NODE_40465_length_625_cov_10.733677_g25825_i0
16	NODE_24940_length_1158_cov_14.417937_g15231_i0
17	NODE_74584_length_188_cov_1.779310_g59374_i0
18	NODE_29457_length_982_cov_4.108626_g17964_i0
19	NODE_94546_length_147_cov_1.355769_g79336_i0
20	NODE_36231_length_749_cov_6.804533_g22531_i0
21	NODE_21125_length_1324_cov_9.497268_g12984_i0
22	NODE_89861_length_152_cov_1.917431_g74651_i0
23	NODE_74589_length_188_cov_1.765517_g59379_i0
24	NODE_13528_length_1745_cov_5.075793_g8456_i0
25	NODE_48678_length_420_cov_4.870027_g33479_i0
26	NODE_27822_length_1044_cov_3.602398_g16959_i0
27	NODE_28708_length_1008_cov_11.932642_g17492_i0
28	NODE_13858_length_1722_cov_7.650387_g8651_i0
29	NODE_13120_length_1773_cov_16.747399_g8197_i0
30	NODE_26751_length_1085_cov_10.846449_g16309_i0
31	NODE_62488_length_249_cov_1.500000_g47278_i0
32	NODE_27682_length_1049_cov_11.080517_g16864_i0
33	NODE_32328_length_878_cov_4.749701_g19797_i0
34	NODE_42071_length_579_cov_42.807836_g24703_i1
35	NODE_44129_length_526_cov_15.511387_g29038_i0
36	NODE_44611_length_514_cov_6.535032_g29486_i0
37	NODE_66077_length_225_cov_4.686813_g50867_i0
38	NODE_69615_length_208_cov_1.175758_g54405_i0
39	NODE_34677_length_798_cov_10.311258_g21402_i0
40	NODE_46087_length_478_cov_11.370115_g30916_i0
41	NODE_22985_length_1242_cov_11.180984_g14060_i0
42	NODE_33896_length_825_cov_17.841432_g20850_i0
43	NODE_13606_length_1739_cov_39.109670_g8500_i0
44	NODE_44197_length_524_cov_13.072765_g29104_i0
45	NODE_39510_length_652_cov_7.288998_g25047_i0
46	NODE_45761_length_486_cov_15.934537_g30600_i0
47	NODE_41167_length_605_cov_5.699288_g26399_i0
48	NODE_27592_length_1053_cov_9.263366_g16812_i0
49	NODE_27661_length_1050_cov_30.927507_g16850_i0
50	NODE_5988_length_2443_cov_12.452917_g3839_i0
51	NODE_83872_length_163_cov_5.408333_g68662_i0
52	NODE_38262_length_689_cov_4.258514_g24065_i0
53	NODE_21642_length_1303_cov_17.567460_g13282_i0
54	NODE_38731_length_675_cov_5.452532_g24430_i0
55	NODE_98656_length_103_cov_123.767123_g83446_i0
56	NODE_26308_length_1102_cov_9.733711_g16070_i0
57	NODE_12673_length_1802_cov_27.644116_g7949_i0
58	NODE_18997_length_1430_cov_5.166547_g11738_i0
59	NODE_41599_length_592_cov_9.488160_g26773_i0
60	NODE_11674_length_1874_cov_102.500819_g7356_i0
61	NODE_24372_length_1181_cov_23.319859_g14881_i0
62	NODE_41122_length_606_cov_258.790409_g26366_i0
63	NODE_32378_length_876_cov_26.903962_g19836_i0
64	NODE_19503_length_1404_cov_22.462895_g12018_i0
65	NODE_55312_length_315_cov_14.694853_g40102_i0
66	NODE_49068_length_412_cov_52.615176_g33866_i0
67	NODE_27120_length_1070_cov_98.341772_g16524_i0
68	NODE_43620_length_539_cov_5.635081_g28568_i0
69	NODE_4741_length_2639_cov_77.251926_g3048_i0
70	NODE_41783_length_587_cov_9.183824_g26932_i0
71	NODE_35174_length_782_cov_51.595399_g21762_i0
72	NODE_43205_length_549_cov_11.590909_g28187_i0
73	NODE_35247_length_780_cov_22.480326_g20490_i1
74	NODE_9273_length_2070_cov_31.804637_g5785_i1
75	NODE_30678_length_934_cov_50.439955_g18740_i0
76	NODE_35822_length_761_cov_33.168524_g22236_i0
77	NODE_91577_length_150_cov_1.336449_g76367_i0
78	NODE_89868_length_152_cov_1.880734_g74658_i0
79	NODE_23483_length_1221_cov_8.880306_g14343_i0
80	NODE_38319_length_687_cov_15.956522_g24109_i0
81	NODE_43738_length_536_cov_13.066937_g28680_i0
82	NODE_13934_length_1717_cov_65.115293_g8694_i0
83	NODE_40407_length_627_cov_5.616438_g25772_i0
84	NODE_39872_length_641_cov_60.197324_g25338_i0
85	NODE_39442_length_654_cov_59.602291_g20928_i1
86	NODE_97669_length_141_cov_2.551020_g82459_i0
87	NODE_6014_length_2439_cov_54.034224_g3861_i0
88	NODE_19073_length_1425_cov_42.717077_g11780_i0
89	NODE_18804_length_1441_cov_8.155937_g11619_i0
90	NODE_12292_length_1830_cov_88.388360_g7717_i0
91	NODE_22152_length_1280_cov_15.607114_g13600_i0
92	NODE_47247_length_450_cov_5.609337_g32059_i0
93	NODE_22483_length_1265_cov_30.225859_g13778_i0
94	NODE_18768_length_1442_cov_114.355254_g11598_i0
95	NODE_24847_length_1162_cov_23.815907_g15180_i0
96	NODE_28486_length_1016_cov_53.426516_g17355_i0
97	NODE_36363_length_745_cov_35.921652_g22634_i0
98	NODE_16238_length_1578_cov_39.936808_g10087_i0
99	NODE_44386_length_519_cov_12.363445_g29281_i0
100	NODE_14106_length_1707_cov_49.156250_g8801_i0
101	NODE_20078_length_1375_cov_126.171171_g11022_i2
102	NODE_44744_length_511_cov_12.207265_g29616_i0
103	NODE_42528_length_567_cov_77.160305_g27575_i0
104	NODE_49418_length_405_cov_31.419890_g34215_i0
105	NODE_18083_length_1478_cov_115.593031_g11177_i0
106	NODE_17299_length_1521_cov_89.210419_g10726_i0
107	NODE_38750_length_674_cov_535.328051_g24449_i0
108	NODE_31453_length_908_cov_8.701734_g19223_i0
109	NODE_86363_length_159_cov_1.034483_g71153_i0
110	NODE_26568_length_1092_cov_66.653003_g16208_i0
111	NODE_22809_length_1251_cov_23.441225_g13958_i0
112	NODE_81879_length_168_cov_0.904000_g66669_i0
113	NODE_18218_length_1471_cov_28.097339_g11252_i0
114	NODE_23902_length_1201_cov_18.417098_g14596_i0
115	NODE_23740_length_1210_cov_9.886033_g13620_i1
116	NODE_30964_length_925_cov_95.205215_g18918_i0
117	NODE_27121_length_1070_cov_75.594937_g16525_i0
118	NODE_27927_length_1039_cov_14.071285_g17024_i0
119	NODE_26153_length_1108_cov_13.680751_g15968_i0
120	NODE_30782_length_931_cov_53.608108_g6291_i1
121	NODE_49363_length_406_cov_22.055096_g34160_i0
122	NODE_6257_length_2406_cov_20.955142_g4003_i0
123	NODE_41737_length_588_cov_117.455046_g26891_i0
124	NODE_84484_length_162_cov_2.218487_g69274_i0
125	NODE_23731_length_1210_cov_46.872322_g10696_i1
126	NODE_34224_length_814_cov_12.038911_g21092_i0
127	NODE_19913_length_1384_cov_12.117823_g12270_i0
128	NODE_77647_length_178_cov_5.111111_g62437_i0
129	NODE_31997_length_889_cov_17.466903_g19580_i0
130	NODE_31835_length_894_cov_28.068155_g19476_i0
131	NODE_24153_length_1190_cov_13.012206_g14746_i0
132	NODE_24145_length_1190_cov_56.949433_g14740_i0
133	NODE_32471_length_873_cov_4.608434_g19901_i0
134	NODE_20039_length_1377_cov_44.731634_g12340_i0
135	NODE_12597_length_1808_cov_20.246459_g7903_i0
136	NODE_88747_length_154_cov_1.720721_g73537_i0
137	NODE_460_length_4813_cov_17.053249_g316_i0
138	NODE_93830_length_148_cov_0.895238_g78620_i0
139	NODE_16015_length_1591_cov_107.546512_g9949_i0
140	NODE_50020_length_394_cov_6.059829_g34817_i0
141	NODE_98582_length_122_cov_4.291139_g83372_i0
142	NODE_39967_length_639_cov_7.354027_g25413_i0
143	NODE_23021_length_1240_cov_80.115288_g13148_i1
144	NODE_29406_length_983_cov_145.818085_g16781_i1
145	NODE_80108_length_171_cov_2.398438_g64898_i0
146	NODE_49420_length_405_cov_21.751381_g34217_i0
147	NODE_88872_length_154_cov_1.441441_g73662_i0
148	NODE_23647_length_1214_cov_13.175064_g14435_i0
149	NODE_20527_length_1353_cov_5.483206_g12631_i0
150	NODE_39889_length_641_cov_10.896321_g25351_i0
151	NODE_53594_length_337_cov_12.479592_g38384_i0
152	NODE_13677_length_1734_cov_44.763454_g8544_i0
153	NODE_27181_length_1067_cov_107.872070_g16524_i1
154	NODE_19751_length_1391_cov_8.328635_g12166_i0
155	NODE_71594_length_199_cov_3.307692_g56384_i0
156	NODE_36707_length_736_cov_6.024531_g22900_i0
157	NODE_54917_length_320_cov_2.783394_g39707_i0
158	NODE_26912_length_1078_cov_42.748792_g16401_i0
159	NODE_15569_length_1616_cov_17.412587_g9678_i0
160	NODE_41909_length_584_cov_4.314233_g27036_i0
161	NODE_14844_length_1657_cov_50.535936_g9259_i0
162	NODE_19262_length_1416_cov_33.896577_g10474_i1
163	NODE_42570_length_566_cov_7.558317_g27613_i0
164	NODE_21833_length_1294_cov_74.805755_g13402_i0
165	NODE_22086_length_1283_cov_24.777419_g13558_i0
166	NODE_40911_length_612_cov_53.056239_g26184_i0
167	NODE_12680_length_1802_cov_9.158044_g7955_i0
168	NODE_16122_length_1585_cov_36.879377_g10012_i0
169	NODE_16591_length_1560_cov_15.971655_g10308_i0
170	NODE_86367_length_159_cov_1.025862_g71157_i0
171	NODE_38027_length_695_cov_85.237730_g23898_i0
172	NODE_31999_length_889_cov_15.648936_g19580_i1
173	NODE_18128_length_1476_cov_204.411724_g11022_i1
174	NODE_58949_length_277_cov_2.149573_g43739_i0
175	NODE_88586_length_154_cov_3.126126_g73376_i0
176	NODE_27880_length_1041_cov_11.251503_g16997_i0
177	NODE_86962_length_158_cov_0.817391_g71752_i0
178	NODE_32585_length_869_cov_9.180387_g19973_i0
179	NODE_19182_length_1420_cov_66.035585_g11838_i0
180	NODE_26200_length_1106_cov_9.437441_g15999_i0
181	NODE_8266_length_2170_cov_42.325811_g5246_i0
182	NODE_14599_length_1673_cov_16.476074_g9102_i0
183	NODE_46040_length_479_cov_25.075688_g30870_i0
184	NODE_32674_length_866_cov_89.910085_g20041_i0
185	NODE_27491_length_1056_cov_69.983218_g16751_i0
186	NODE_19729_length_1392_cov_8.296516_g12155_i0
187	NODE_12906_length_1787_cov_28.506881_g7320_i1
188	NODE_46950_length_457_cov_20.620773_g31769_i0
189	NODE_23269_length_1230_cov_25.558551_g14228_i0
190	NODE_27751_length_1046_cov_13.579262_g16904_i0
191	NODE_30793_length_931_cov_27.102477_g18815_i0
192	NODE_11600_length_1879_cov_252.438998_g6787_i1
193	NODE_19094_length_1424_cov_29.918175_g11793_i0
194	NODE_5537_length_2510_cov_6.079449_g3559_i0
195	NODE_73897_length_190_cov_3.244898_g58687_i0
196	NODE_23040_length_1240_cov_4.715121_g14094_i0
197	NODE_36873_length_730_cov_13.410480_g21401_i1
198	NODE_28244_length_1025_cov_177.513238_g4181_i6
199	NODE_26379_length_1099_cov_17.138258_g16110_i0
200	NODE_83528_length_164_cov_1.677686_g68318_i0
201	NODE_31334_length_912_cov_99.726122_g19144_i0
202	NODE_53104_length_344_cov_3.229236_g37894_i0
203	NODE_10537_length_1964_cov_60.998438_g6644_i0
204	NODE_36572_length_739_cov_102.380747_g22791_i0
205	NODE_20700_length_1344_cov_11.603382_g12730_i0
206	NODE_15540_length_1617_cov_96.036213_g9662_i0
207	NODE_44745_length_511_cov_11.807692_g29617_i0
208	NODE_23775_length_1208_cov_22.508155_g14512_i0
209	NODE_15976_length_1594_cov_42.344939_g9925_i0
210	NODE_31587_length_903_cov_24.631395_g19318_i0
211	NODE_94338_length_147_cov_1.807692_g79128_i0
212	NODE_70237_length_205_cov_1.679012_g55027_i0
213	NODE_27273_length_1064_cov_9.255632_g16620_i0
214	NODE_89900_length_152_cov_1.733945_g74690_i0
215	NODE_21611_length_1304_cov_26.007137_g8556_i1
216	NODE_8999_length_2097_cov_135.902142_g4181_i2
217	NODE_20342_length_1362_cov_36.235027_g12521_i0
218	NODE_22936_length_1244_cov_26.923397_g8713_i1
219	NODE_31492_length_907_cov_15.885417_g19248_i0
220	NODE_31063_length_922_cov_71.416382_g18524_i1
221	NODE_15911_length_1597_cov_182.221364_g9882_i0
222	NODE_16047_length_1590_cov_5.458306_g9966_i0
223	NODE_52271_length_356_cov_23.830671_g37061_i0
224	NODE_86988_length_157_cov_3.070175_g71778_i0
225	NODE_42376_length_571_cov_10.312500_g27437_i0
226	NODE_34565_length_802_cov_10.140975_g21318_i0
227	NODE_35648_length_767_cov_9.798343_g22109_i0
228	NODE_12675_length_1802_cov_17.849346_g7951_i0
229	NODE_10591_length_1960_cov_14.594679_g6677_i0
230	NODE_53789_length_335_cov_1.434932_g38579_i0
231	NODE_12332_length_1828_cov_27.491317_g7740_i0
232	NODE_17769_length_1495_cov_108.212810_g10998_i0
233	NODE_465_length_4807_cov_52.195004_g258_i1
234	NODE_38102_length_693_cov_87.224615_g23951_i0
235	NODE_46829_length_460_cov_8.618705_g31651_i0
236	NODE_44881_length_507_cov_6.551724_g29746_i0
237	NODE_48472_length_424_cov_7.446194_g33274_i0
238	NODE_19212_length_1419_cov_9.417878_g11853_i0
239	NODE_86593_length_158_cov_1.773913_g71383_i0
240	NODE_43319_length_546_cov_70.347913_g28295_i0
241	NODE_98550_length_124_cov_14.049383_g83340_i0
242	NODE_19612_length_1398_cov_21.822878_g12085_i0
243	NODE_61557_length_255_cov_8.924528_g46347_i0
244	NODE_54488_length_325_cov_30.078014_g39278_i0
245	NODE_26594_length_1091_cov_27.083015_g16220_i0
246	NODE_11753_length_1870_cov_18.158183_g7401_i0
247	NODE_30748_length_932_cov_109.422947_g18791_i0
248	NODE_31884_length_893_cov_6.369412_g19508_i0
249	NODE_12902_length_1787_cov_31.890482_g8077_i1
250	NODE_39718_length_645_cov_97.073090_g25217_i0
251	NODE_27600_length_1052_cov_242.611497_g16818_i0
252	NODE_27413_length_1059_cov_20.247047_g16705_i0
253	NODE_44090_length_527_cov_12.415289_g29002_i0
254	NODE_18278_length_1468_cov_15.184561_g11290_i0
255	NODE_30733_length_933_cov_8.386517_g18779_i0
256	NODE_7940_length_2207_cov_8.944547_g5051_i0
257	NODE_13663_length_1735_cov_70.523050_g8533_i2
258	NODE_6523_length_2373_cov_120.716309_g4181_i0
259	NODE_24069_length_1193_cov_22.094783_g14699_i0
260	NODE_60985_length_260_cov_1.691244_g45775_i0
261	NODE_8315_length_2166_cov_9.670278_g5275_i0
262	NODE_11142_length_1915_cov_37.259615_g6387_i1
263	NODE_2136_length_3367_cov_29.214501_g1104_i1
264	NODE_6748_length_2344_cov_20.438070_g4315_i0
265	NODE_13325_length_1758_cov_59.132945_g8327_i0
266	NODE_3278_length_2974_cov_13.317639_g2107_i0
267	NODE_59134_length_275_cov_4.353448_g43924_i0
268	NODE_39658_length_647_cov_124.408940_g23512_i1
269	NODE_33358_length_844_cov_11.473159_g20496_i0
270	NODE_12709_length_1799_cov_52.579727_g6435_i1
271	NODE_29948_length_961_cov_53.302832_g18280_i0
272	NODE_4996_length_2596_cov_85.406972_g1374_i1
273	NODE_89154_length_153_cov_5.427273_g73944_i0
274	NODE_23125_length_1236_cov_68.280805_g14144_i0
275	NODE_25421_length_1138_cov_43.126027_g15524_i0
276	NODE_25884_length_1119_cov_38.298327_g15806_i0
277	NODE_30859_length_929_cov_18.843115_g18853_i0
278	NODE_40140_length_634_cov_10.037225_g25550_i0
279	NODE_15090_length_1642_cov_104.475297_g9116_i1
280	NODE_59917_length_268_cov_10.280000_g44707_i0
281	NODE_28723_length_1007_cov_91.964730_g15601_i1
282	NODE_43482_length_542_cov_52.220441_g28443_i0
283	NODE_14314_length_1693_cov_24.002424_g8921_i0
284	NODE_22913_length_1245_cov_79.570715_g14021_i0
285	NODE_16723_length_1552_cov_58.842942_g2790_i3
286	NODE_15667_length_1611_cov_21.319515_g9742_i0
287	NODE_19820_length_1388_cov_51.979182_g12210_i0
288	NODE_39010_length_666_cov_66.499197_g24642_i0
289	NODE_6360_length_2393_cov_93.448936_g4074_i0
290	NODE_19164_length_1421_cov_34.052250_g6635_i1
291	NODE_8831_length_2113_cov_84.991787_g4181_i1
292	NODE_13343_length_1757_cov_167.331389_g8339_i0
293	NODE_19236_length_1417_cov_101.885007_g11682_i1
294	NODE_67126_length_219_cov_4.318182_g51916_i0
295	NODE_7813_length_2221_cov_20.419651_g4973_i0
296	NODE_24208_length_1188_cov_10.952838_g14777_i0
297	NODE_22623_length_1259_cov_31.933388_g13744_i1
298	NODE_9118_length_2087_cov_32.917319_g5785_i0
299	NODE_34241_length_813_cov_43.466234_g6644_i3
300	NODE_40531_length_623_cov_129.763793_g23512_i2
301	NODE_8267_length_2170_cov_41.229901_g5246_i1
302	NODE_17070_length_1534_cov_28.374245_g10587_i0
303	NODE_21935_length_1290_cov_68.359262_g13464_i0
304	NODE_92288_length_149_cov_2.160377_g77078_i0
305	NODE_21944_length_1290_cov_24.675221_g13471_i0
306	NODE_32943_length_857_cov_89.732187_g13435_i1
307	NODE_10155_length_1995_cov_16.807889_g6408_i0
308	NODE_10492_length_1968_cov_20.643636_g6614_i0
309	NODE_34580_length_801_cov_525.944591_g17498_i2
310	NODE_3770_length_2851_cov_102.272436_g1797_i1
311	NODE_11351_length_1900_cov_15.065159_g6130_i1
312	NODE_29981_length_960_cov_52.247546_g18299_i0
